"SIGLA","ESTADO","POPULACAO","","",""
"AC","Acre","906,876","","",""
"AL","Alagoas","3,365,351","","",""
"AM","Amazonas","4,269,995","","",""
"AP","Amapá","877,613","","",""
"BA","Bahia","14,985,284","","",""
"CE","Ceará","9,240,580","","",""
"DF","Distrito Federal","3,094,325","","",""
"ES","Espírito Santo","4,108,508","","",""
"GO","Goiás","7,206,589","","",""
"MA","Maranhão","7,153,262","","",""
"MG","Minas Gerais","21,411,923","","",""
"MS","Mato Grosso do Sul","2,839,188","","",""
"MT","Mato Grosso","3,567,234","","",""
"PA","Pará","8,777,124","","",""
"PB","Paraíba","4,059,905","","",""
"PE","Pernambuco","9,674,793","","",""
"PI","Piauí","3,289,290","","",""
"PR","Paraná","11,597,484","","",""
"RJ","Rio de Janeiro","17,463,349","","",""
"RR","Roraima","652,713","","",""
"RN","Rio Grande do Norte","3,560,903","","",""
"RO","Rondônia","1,815,278","","",""
"RS","Rio Grande do Sul","11,466,630","","",""
"SC","Santa Catarina","7,338,473","","",""
"SE","Sergipe","2,338,474","","",""
"SP","São Paulo","46,649,132","","",""
"TO","Tocantins","1,607,363","","",""
"BR","Brasil","213,317,639","","",""
